IC10+ (allSC),Gene Symbol,Prioritized candidate direct target
1,CD99,0
2,JAK1,0
3,CAV1,1
4,FN1,0
5,ALX1,0
6,IFITM3,0
7,IRS2,0
8,ID2,0
9,APCDD1,1
10,IFITM1,0
11,TNC,0
12,SNX18,0
13,EPHA4,0
14,YPEL5,0
15,CDK14,0
16,CPEB2,0
17,CREM,0
18,CCND1,1
19,ANXA1,0
20,RNF141,1
21,MFAP4,0
22,CDH11,0
23,RBM11,1
24,TSPAN13,1
25,FZD1,1
26,NLGN4X,0
27,ITM2A,0
28,OLFML3,0
29,HOXD13,0
30,RCOR1,1
31,GSTA4,0
32,WASF1,0
33,ATP1A1,1
34,FAT4,0
35,TMEM47,1
36,ROBO2,0
37,BDP1,0
38,TXNIP,0
39,OLFM1,0
40,GLCE,1
41,LIPI,1
42,RP13-16H11.2,1
43,GLG1,0
44,CLDN1,1
45,DKK2,0
46,PAX9,1
47,ZIC2,0
48,ADRA1D,0
49,MYO10,0
50,NPY5R,0
51,NPY1R,0
52,LONRF1,0
53,ALX4,0
54,CHD3,0
55,TNFAIP6,1
56,GSTM1,0
57,NET1,0
58,UGT3A2,1
59,GPR64,1
60,SLAIN1,1
61,HOXD8,0
62,SMARCC1,0
63,CCK,0
64,DCLRE1A,0
65,DNAJC12,0
66,OTUD1,0
67,RP11-1258F18.1,1
68,MARCH1,1
69,AASS,1
70,ABHD6,1
71,AC022311.1,1
72,AC073135.3,0
73,ACTN2,0
74,ADAMTS4,1
75,ADRB1,0
76,AK3,1
77,AKAP7,1
78,AKR1C3,0
79,CDH8,1
80,CEACAM6,0
81,CER1,0
82,CES1,1
83,COL21A1,1
84,CPVL,0
85,CSRP1,0
86,CTTNBP2,1
87,CYYR1,0
88,DAB1,0
89,DAPK1,0
90,ATP11C,1
91,BARX2,1
92,BCL11B,0
93,C7,0
94,CACHD1,1
95,CACNB2,0
96,CADPS2,1
97,CALCB,0
98,CAPRIN1,1
99,CAV2,1
100,CCDC171,0
101,CDC37L1,1
102,DAPK2,0
103,DCC,1
104,DCDC2,1
105,DLG2,0
106,DLGAP1,1
107,DLX5,0
108,DNAL4,1
109,DUSP6,0
110,EBF3,1
111,EFNB1,0
112,EGR2,0
113,ENPP1,1
114,EPB41,0
115,FADS1,0
116,FAM111A,0
117,FAM117B,0
118,FAM123A,0
119,FAM46A,1
120,FAM49A,1
121,FAM84B,0
122,FCGRT,0
123,FLI1,0
124,FLRT2,0
125,FNBP1,1
126,FOS,1
127,FZD4,0
128,GDF6,0
129,GFRA2,0
130,GLRX,0
131,GSTM4,0
132,H2AFY2,0
133,HES1,1
134,HMCN1,1
135,HOOK1,0
136,ID4,0
137,IGF1,1
138,IKZF2,0
139,IL1RAP,0
140,JAKMIP2,0
141,JARID2,1
142,KCNE4,1
143,KDSR,1
144,KIAA1217,0
145,KIAA1456,1
146,KIAA1462,1
147,KIT,1
148,KMO,0
149,LDB2,0
150,LHFP,0
151,LMO3,0
152,LOXHD1,0
153,LRRC4C,1
154,MAN2A1,1
155,MLLT3,1
156,MMP1,0
157,MYC,1
158,MYEOV,0
159,N4BP2,0
160,NCKAP1L,0
161,NDST4,0
162,NELL2,0
163,NMI,1
164,NPTXR,1
165,NPY,0
166,NTNG1,1
167,OLFM3,0
168,PADI2,0
169,PAPPA,0
170,PARD6B,0
171,PBX1,0
172,PCDH11X,0
173,PCDH7,1
174,PCSK2,1
175,PENK,0
176,PKP1,0
177,PRAC,0
178,PRKCB,1
179,PRSS35,0
180,PTGER3,0
181,RAVER2,0
182,RERE,0
183,RGL1,0
184,RHOH,0
185,RP11-18I14.10,0
186,RP11-252A24.7,0
187,RP11-521M14.1,1
188,RP11-6C14.1,1
189,RP13-16H11.1,1
190,SCN1A,0
191,SH2B3,1
192,SH3PXD2A,1
193,SIRPA,0
194,SLC17A8,0
195,SLC26A2,1
196,SLCO5A1,1
197,SLFN11,0
198,SORD,0
199,SOX6,0
200,SPATA6L,1
201,STEAP1,0
202,STEAP2,0
203,SYT4,0
204,SYT6,0
205,TENM2,0
206,TGS1,0
207,TMEM98,0
208,TPTE2,0
209,TRAV1-2,1
210,TRDN,0
211,TRPM4,1
212,TSPAN8,0
213,TSPYL5,0
214,TUBA4A,0
215,UHMK1,0
216,WDFY2,0
217,WWOX,0
218,ZC3H13,1
219,ZEB2,0
220,ZNF704,0
