Activated,Repressed
PPP1R1A,NT5E
MYOM2,TGFBI
MYOM2,COL6A1
RNF182,ENC1
DCDC2,PHLDB2
CCND1,CABLES1
UGT3A2,ERRFI1
PRKCB,COL1A2
PRKCB,ERRFI1
CER1,IER3
KIAA1456,MAML2
CYP4F22,UGCG
VRK1,ABI3BP
GFRA2,TPCN1
KIAA1456,LAMA4
STEAP2,SPOCK1
KCNE3,MSRB3
KCNE3,PDP1
CD83,CA12
MYEOV,LAMB1
SLC24A3,DNM3OS
XAGE1A,SSFA2
MAB21L3,ARF6
PRKCB,TGFBR2
LOXHD1,RASA3
XG,TSC22D3
VRK1,SERPINE2
PHOSPHO1,NAMPT
SLC24A3,TNC
PLK1,TPCN1
DUSP26,ZNF217
MMS22L,S1PR3
LINC00277,HCN2
PRRG1,LINC00152
FAM49A,LURAP1L
XAGE1A,TRPS1
VRK1,SNAI2
JARID2,RNF152
XAGE1A,SYTL2
NKX2-2,DRD1
CEACAM6,ENDOV
NKX2-2,SPATA6
FAM84B,EFNA5
SMARCC1,SUCO
C1orf226,ETS1
CDH12,SSFA2
XG,IL17RD
KCNA2,SEMA6D
KIAA1456,CIC
FAM19A5,CDK19
ARMC1,RGS16
KLF15,SCARB1
XAGE1A,FN1
ZSWIM6,SNAI2
MMS22L,ARHGAP5
TPSAB1,LDLRAD4
HMGB1,AQP1
XAGE1A,IQGAP2
NUF2,STX1A
CARD11,SCUBE1
RAD18,IRF2
KMO,C5orf15
FAM84B,PDE4D
PRRT4,EMCN
VRK1,CCDC71L
HS3ST4,PTGS2
C6,RAB3GAP2
PRRG1,PVRL3
TPTE2,JAZF1
NLGN4X,ARSJ
DCK,IGFBP2
TMPO-AS1,YIPF5
POLA1,TANK
UBE3D,F2R
SOX2,DLC1
PTGER3,IER2
NOS1AP,PXDN
HSPH1,RGS5
DUSP26,RBMS1
RREB1,SLC38A2
ADRB3,VSTM2L
KCNN1,TMEM183A
FAM84B,CALD1
EZH2,AMY2B
RAD18,LEMD2
CCND1,SEMA4C
AKAP7,MBNL2
IGSF21,ANKRD50
YPEL5,SEMA3A
POU3F1,LAMC1
ADO,WWC2
SLC35F3,KCTD10
SPATA13,PARK2
SORD,TNC
DCDC2,LPIN1
SH3PXD2A,SLC25A37
ATG4C,KDM4C
MTERF,SIPA1L2
PTCHD3P1,PLCB1
NLGN4X,REEP3
